仓库相对路径,本机绝对路径,引用状态,实际像素,字节数,来源与授权分类,SHA256
assets/flourish-logo-reference.png,/Users/digua/Documents/website/assets/flourish-logo-reference.png,非首页直接引用,2055x417,45847,品牌来源或衍生；有站内使用记录，新用途待确认,9208e3b2d9ea5e023dc669e3763e7941732c7534b611b6e70aa25c6c2a455767
assets/flourish-mark.png,/Users/digua/Documents/website/assets/flourish-mark.png,首页直接引用,211x211,44181,品牌来源或衍生；有站内使用记录，新用途待确认,05dcfcf37bb7d702bbb547482cc31b8ebf6aaca19653e0dbd13137e17f7d683b
assets/fonts/archivo-variable.woff2,/Users/digua/Documents/website/assets/fonts/archivo-variable.woff2,非首页直接引用,不适用或未取得,34928,字体或图标；核对随附许可证,8f704806dbedeaaeca334b11ec348bc3ac3a439d6431544b3afb54f534ee4967
assets/fonts/space-grotesk-variable.woff2,/Users/digua/Documents/website/assets/fonts/space-grotesk-variable.woff2,非首页直接引用,不适用或未取得,22288,字体或图标；核对随附许可证,0640890476fc1198ab4de571fb658de443c4d85b66466ec09534a8737ab1ce9d
assets/hero-creator-collage.jpg,/Users/digua/Documents/website/assets/hero-creator-collage.jpg,非首页直接引用,1717x916,372404,来源及新用途授权待确认,16536f7a2b3532bd2e60e9058dd1db5c7cf39addc7b4c8eedc92e5998668e10d
assets/hong-kong-culture.jpg,/Users/digua/Documents/website/assets/hong-kong-culture.jpg,非首页直接引用,1662x946,358514,来源及新用途授权待确认,5362697e3f945e7d4eb41e51288784ee0a2cc2e7f6aee99d65f1fd5dc763329f
assets/hong-kong-harbour.jpg,/Users/digua/Documents/website/assets/hong-kong-harbour.jpg,首页直接引用,1672x941,505506,来源及新用途授权待确认,9a8378e81a6ed8e2704b2f2c3c350b10ed668cb8ad978d15aea78675fd3ff9d2
assets/icons/remixicon.css,/Users/digua/Documents/website/assets/icons/remixicon.css,首页直接引用,不适用或未取得,157554,字体或图标；核对随附许可证,50be2f9339fa2de9ad9a0832100219a909fd5401c6c07612c02c937827f9319c
assets/icons/remixicon.ttf,/Users/digua/Documents/website/assets/icons/remixicon.ttf,非首页直接引用,不适用或未取得,613136,字体或图标；核对随附许可证,cdff268662c834fbe023a8d34f77e2842c50025b093bc827c9b71adefc81b256
assets/icons/remixicon.woff,/Users/digua/Documents/website/assets/icons/remixicon.woff,非首页直接引用,不适用或未取得,260480,字体或图标；核对随附许可证,387aa3c3a5b5733d89f81d1e40cfea0656d83c5dfe35286e397ed6492a0c179d
assets/icons/remixicon.woff2,/Users/digua/Documents/website/assets/icons/remixicon.woff2,非首页直接引用,不适用或未取得,189216,字体或图标；核对随附许可证,e92dc38bfb1d15dbb9d9ca9e645754f68e7c5b224e33c45a17048bd0cf2407a6
assets/optimized/about-hk-cross-border-bridge.webp,/Users/digua/Documents/website/assets/optimized/about-hk-cross-border-bridge.webp,非首页直接引用,1600x640,173904,来源及新用途授权待确认,2e44ff418102aebe6a5c9aa6111a475a39cde30154bd0142c2933b929e56b346
assets/optimized/creator-recruitment.webp,/Users/digua/Documents/website/assets/optimized/creator-recruitment.webp,首页直接引用,1200x642,35376,来源及新用途授权待确认,bae9af6aa1abbad8605166bd5e7e9885fa8ceb33cd06194cfa73d30305176d86
assets/optimized/hero-brand-partnership.webp,/Users/digua/Documents/website/assets/optimized/hero-brand-partnership.webp,首页直接引用,900x1230,66182,来源及新用途授权待确认,1b7478c31db7a8ecfd04bb5ef4f171584396a6c91d91e940e50fa55668c3b7e8
assets/optimized/hero-global-talent.webp,/Users/digua/Documents/website/assets/optimized/hero-global-talent.webp,首页直接引用,960x502,38642,来源及新用途授权待确认,6e5a973f5fdc15dab1298912a7d3e0a3e2abb78904efc9663a95273bd9ff0e20
assets/optimized/hero-performance.webp,/Users/digua/Documents/website/assets/optimized/hero-performance.webp,首页直接引用,960x512,26428,来源及新用途授权待确认,c08e664a2ca65eff3d4f02f457837fc4b4418064b60859d9ca7eae7c014035af
assets/optimized/hong-kong-culture.webp,/Users/digua/Documents/website/assets/optimized/hong-kong-culture.webp,非首页直接引用,1200x684,60202,来源及新用途授权待确认,fb97cd1334ddf9708e636ce431b0c974b12909eaa1263f0d93bf37308d6913af
assets/optimized/hong-kong-harbour.webp,/Users/digua/Documents/website/assets/optimized/hong-kong-harbour.webp,首页直接引用,1200x676,95546,来源及新用途授权待确认,be29adcebe6803dc0b15206d51b465e70d3ea931c002626569e3afd323e9a776
assets/optimized/service-influencer.webp,/Users/digua/Documents/website/assets/optimized/service-influencer.webp,首页直接引用,1200x640,59936,来源及新用途授权待确认,7602caabdca3cea569080790603fcb61604179e67c7f70d5e50850c219ee0c82
assets/optimized/service-localization.webp,/Users/digua/Documents/website/assets/optimized/service-localization.webp,首页直接引用,1200x676,52488,来源及新用途授权待确认,cd97293bc14e2e0a11f412742ac63e8b5a602480a7f5260ce0bf50afec551ffb
assets/optimized/talent-global-creator-network.webp,/Users/digua/Documents/website/assets/optimized/talent-global-creator-network.webp,首页直接引用,1400x606,70976,来源及新用途授权待确认,bbed5c9272177015f30b60277c0794700535f10efb5295274dc06081a3b0e7d7
assets/partner-badges/tiktok-shop-cap.png,/Users/digua/Documents/website/assets/partner-badges/tiktok-shop-cap.png,首页直接引用,345x353,210021,第三方Logo或徽章；按批准名单使用，新传播用途待确认,a4b6b3b8a07e63aeae426bb3e3cc8c3e51f1ddbe14cf31308ec465b024cb302f
assets/partner-badges/tiktok-shop-tap.png,/Users/digua/Documents/website/assets/partner-badges/tiktok-shop-tap.png,首页直接引用,354x361,217641,第三方Logo或徽章；按批准名单使用，新传播用途待确认,8d409b0798cd290f6be173c300ea87fe787b57d73c4435c696fa31bd1f6c12ae
assets/service-creative-localization-camera-speaker.webp,/Users/digua/Documents/website/assets/service-creative-localization-camera-speaker.webp,首页直接引用,1536x1024,163874,资产清单记录生成图；通用示意，非真实活动,c4601f7a49a303e2bb5cca1b10390ea114bbacb411f41c5f99f29da63478db97
assets/service-creative-localization-meetup.webp,/Users/digua/Documents/website/assets/service-creative-localization-meetup.webp,非首页直接引用,1536x1024,148790,资产清单记录生成图；通用示意，非真实活动,995033f01f8c240270f1262760d61a43a3e57d2a13ca71ab6a5d048b465481ab
assets/service-creative-localization-product.webp,/Users/digua/Documents/website/assets/service-creative-localization-product.webp,非首页直接引用,1536x1024,161868,资产清单记录生成图；通用示意，非真实活动,be23a011d1faa56f6886b6678cf30e6340375b64429ac7b47e97b7c1a04f1a2e
assets/service-influencer.jpg,/Users/digua/Documents/website/assets/service-influencer.jpg,首页直接引用,1717x916,387100,来源及新用途授权待确认,5388f6770d053527c773f4fede35a38e8fc5eb9dd30cd3aed394dfa35e3ed492
assets/service-localization.jpg,/Users/digua/Documents/website/assets/service-localization.jpg,首页直接引用,1672x941,347094,来源及新用途授权待确认,a89de907b4a3f8cf0d17c82e8a0e7d3cc4e3173d0066f58f3532e806cc5eab78
assets/service-performance.jpg,/Users/digua/Documents/website/assets/service-performance.jpg,首页直接引用,1717x916,275785,来源及新用途授权待确认,320469d302886158a5a8d8b35b2618a2f5dd91516a80f77fda02ce55135a25c2
assets/talent-creator-growth-studio.webp,/Users/digua/Documents/website/assets/talent-creator-growth-studio.webp,首页直接引用,1536x1024,76776,资产清单记录生成图；通用示意，非真实活动,f9187abb6213fdd05725f0db3cf45551619465cea9b3758dfe8863b3e4fceed2
assets/talent-global-creator-network.png,/Users/digua/Documents/website/assets/talent-global-creator-network.png,首页直接引用,1906x825,1918245,来源及新用途授权待确认,5ed731f688cea5c851fb9e943d49797ec7ffbaa7ff72461cd50abb04f59c284d
design-options/source-assets/creator-recruitment.png,/Users/digua/Documents/website/design-options/source-assets/creator-recruitment.png,非首页直接引用,1716x917,1808513,来源及新用途授权待确认,c8f190da5b0ef0bee5fdc9675913031a23f2ccdac9fde9406b4fc6dac99cb36d
design-options/source-assets/hero-creator-collage.png,/Users/digua/Documents/website/design-options/source-assets/hero-creator-collage.png,非首页直接引用,1717x916,2000156,来源及新用途授权待确认,4b500e01ba583eb3eb177a7b2b798b2cca69c4edf5196beebe1d7dcc46daaa2a
design-options/source-assets/hong-kong-culture.png,/Users/digua/Documents/website/design-options/source-assets/hong-kong-culture.png,非首页直接引用,1662x946,1986442,来源及新用途授权待确认,df86ea98a6f0d76530fc7cdbc3a1dfe0efb9f5a118715718a4c2413e58f45b1a
design-options/source-assets/hong-kong-harbour.png,/Users/digua/Documents/website/design-options/source-assets/hong-kong-harbour.png,非首页直接引用,1672x941,2360104,来源及新用途授权待确认,41fd12bbddc2b3cb035f37d0b7d7a5bd0bdac93ddc646829ead9fe2c8961b70a
design-options/source-assets/service-creative-localization-meetup.png,/Users/digua/Documents/website/design-options/source-assets/service-creative-localization-meetup.png,非首页直接引用,1536x1024,2229182,资产清单记录生成图；通用示意，非真实活动,0238e431a3b84b1293d403884e00d952d45229cc584c4054f3d462eb5451d47d
design-options/source-assets/service-influencer.png,/Users/digua/Documents/website/design-options/source-assets/service-influencer.png,非首页直接引用,1717x916,1945921,来源及新用途授权待确认,0854c2d9d1956349296cd9defdb84e05deb2cdc2e634ff880c85e5d9e0940c16
design-options/source-assets/service-localization.png,/Users/digua/Documents/website/design-options/source-assets/service-localization.png,非首页直接引用,1672x941,1899510,来源及新用途授权待确认,977020e80f686ad33cb9c28c2d5c6d6edfb73acb573c6321bde10f3f920e1587
design-options/source-assets/service-performance.png,/Users/digua/Documents/website/design-options/source-assets/service-performance.png,非首页直接引用,1717x916,1715582,来源及新用途授权待确认,0d006522acf452f0cc4afd8e5b9531249bc439d59c5dc8429ae05b0ec272bc43
design-options/source-assets/talent-creator-growth-studio.png,/Users/digua/Documents/website/design-options/source-assets/talent-creator-growth-studio.png,非首页直接引用,1536x1024,1763175,资产清单记录生成图；通用示意，非真实活动,97782b7e48e1f66f62238579317123ca0edb3d523caf1d9954a953c3a80349af
